BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,STREET_NAME,FORMATTED_ADDRESS
Brokered by Priyankara Kavirathna,House for sale,"132,060,273",3,3,"4,538.45","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by SEV Real Estate,House for sale,"496,440,000",4,4,"4,500.00","Bouddhaloka Mawatha, Colombo 07",Colombo,"Bouddhaloka Mawatha, Colombo 07",Colombo,Colombo 7,Bouddhaloka Mawatha,"Bouddhaloka Mawatha, Colombo 07"
Brokered by PK Property Solutions,House for sale,"51,155,911",3,3,"3,433.46","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by KP Agasthi Property,House for sale,"68,871,285",4,3,"1,975.80","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
No broker,House for sale,"34,378,572",4,3,"4,212.90","Awissawella, Colombo",Colombo,Awissawella,Colombo,Awissawella,,"Awissawella, Colombo"
Brokered by Mohammed Rizmi,House for sale,"384,617,603",7,6,"8,569.58","Kohuwala, Colombo",Colombo,Kohuwala,Colombo,Kohuwala,,"Kohuwala, Colombo"
Brokered by Neththaru Property,House for sale,"38,159,437",4,3,"4,597.90","Awissawella, Colombo",Colombo,Awissawella,Colombo,Awissawella,,"Awissawella, Colombo"
Brokered by Emil Realtors Pvt Ltd,House for sale,"39,381,635",4,3,"2,298.82","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by Sooriya Land Sale,House for sale,"63,006,045",2,2,"1,403.82","Pamankada, Colombo",Colombo,Pamankada,Colombo,Pamankada,,"Pamankada, Colombo"
Brokered by Mohammed Rizmi,House for sale,"47,849,007",3,3,"3,392.55","Kesbewa, Colombo",Colombo,Kesbewa,Colombo,Kesbewa,,"Kesbewa, Colombo"
Brokered by Idea Property and Real Estate,House for sale,"24,500,000",5,2,"2,500.00","Mahalwarawa, Pannipitiya",Colombo,"Mahalwarawa, Pannipitiya",Colombo,Pannipitiya,,"Mahalwarawa, Pannipitiya"
Brokered by Property Advertising,House for sale,"111,925,187",5,3,"3,491.42","Kottawa, Colombo",Colombo,Kottawa,Colombo,Kottawa,,"Kottawa, Colombo"
Brokered by ZamZam Properties Pvt Ltd,House for sale,"302,950,112",10,8,"9,019.70","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by Sell Fast | AD Zone,House for sale,"39,530,898",5,3,"4,844.28","Awissawella, Colombo",Colombo,Awissawella,Colombo,Awissawella,,"Awissawella, Colombo"
Brokered by SEV Real Estate,House for sale,"59,695,110",3,3,"3,693.34","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
Brrokered by Priyankara Kavirathna,House for sale,"164,355,412",3,4,"3,661.97","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by BR Property Agents Pvt Ltd,House for sale,"41,646,121",4,4,"2,250.60","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by S Threads Property,House for sale,"38,265,553",5,4,"4,628.65","Malabe, Colombo",Colombo,Malabe,Colombo,Malabe,,"Malabe, Colombo"
No broker,House for sale,"13,459,149",2,2,896,"Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Sasiri Land Sale,House for sale,"137,043,300",4,5,"3,053.43","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by Real Mart,House for sale,"85,940,564",3,3,"2,955.27","Colombo 6, Colombo",Colombo,Colombo 6,Colombo,Colombo 6,,"Colombo 6, Colombo"
Brrokered by Priyankara Kavirathna,House for sale,"65,498,722",5,5,"5,282.14","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
Brokered by Telemarketing Colombo,Villa for sale,"23,040,739",5,3,"2,523.10","Pannipitiya, Colombo",Colombo,Pannipitiya,Colombo,Pannipitiya,,"Pannipitiya, Colombo"
Brokered by Telemarketing Colombo,House for sale,"253,861,899",9,8,"8,117.52","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by Priyankara Kavirathna,House for sale,"25,729,471",5,3,"2,876.50","Pannipitiya, Colombo",Colombo,Pannipitiya,Colombo,Pannipitiya,,"Pannipitiya, Colombo"
Brokered by DJ Luxury Realty,House for sale,"62,994,345",5,5,"3,337.25","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
Brokered by Platinum Property & Construction,House for sale,"104,844,219",4,4,"5,033.31","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by Telemarketing Colombo,House for sale,"24,172,340",4,3,"2,007.34","Polgasovita, Colombo",Colombo,Polgasovita,Colombo,Polgasovita,,"Polgasovita, Colombo"
Brokered by The King of SL Property,House for sale,"36,903,673",3,3,"2,332.94","Colombo 9, Colombo",Colombo,Colombo 9,Colombo,Colombo 9,,"Colombo 9, Colombo"
Brokered by Sasiri Land Sale,House for sale,"70,059,786",5,5,"3,315.37","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
No broker,House for sale,"39,059,086",4,3,"4,786.47","Awissawella, Colombo",Colombo,Awissawella,Colombo,Awissawella,,"Awissawella, Colombo"
Brokered by Infinity Properties,House for sale,"35,000,000",3,2,"1,200.00","Temple Road, Maharagama",Colombo,"Temple Road, Maharagama",Colombo,Maharagama,Temple Road,"Temple Road, Maharagama"
Brokered by S Thedas Property,House for sale,"45,957,272",5,3,"2,134.43","Kottawa, Colombo",Colombo,Kottawa,Colombo,Kottawa,,"Kottawa, Colombo"
Brokered by Emil Realtors Pvt Ltd,House for sale,"61,826,821",3,3,"2,988.12","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by KP Agasthi Property,House for sale,"15,668,196",2,2,896,"Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Citadel Trading ,House for sale,"164,198,640",4,3,"3,658.47","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by GoldMark Property Consultancy,House for sale,"108,601,425",4,4,"3,489.17","Kohuwala, Colombo",Colombo,Kohuwala,Colombo,Kohuwala,,"Kohuwala, Colombo"
Brokered by Property Advertising,House for sale,"108,000,000",2,1,"1,500.00","Havelock road, Pamankada",Colombo,"Havelock road, Pamankada",Colombo,Pamankada,Havelock road,"Havelock road, Pamankada"
Brokered by SEV Real Estate,House for sale,"207,849,948",6,5,"4,874.54","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by KP Agasthi Property,House for sale,"131,685,369",5,5,"3,860.60","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by Dream Property,House for sale,"58,335,706",4,4,"3,492.08","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Infinity Properties,House for sale,"21,318,478",1,2,"1,001.39","Padukka, Colombo",Colombo,Padukka,Colombo,Padukka,,"Padukka, Colombo"
Brokered by Sasiri Land sale,House for sale,"85,165,018",5,4,"4,530.57","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by Propertydeal.lk,House for sale,"42,820,801",5,3,"5,247.44","Makadana, Colombo",Colombo,Makadana,Colombo,Makadana,,"Makadana, Colombo"
Brokered by Dream Property,House for sale,"95,514,234",5,4,"4,426.11","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
Brokered by Dream Consultant,House for sale,"325,312,925",8,6,"8,468.89","Pamankada, Colombo",Colombo,Pamankada,Colombo,Pamankada,,"Pamankada, Colombo"
Brokered by Asitha Properties,Villa for sale,"78,281,464",5,4,"3,656.59","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
Brokered by Asitha Properties,House for sale,"114,665,697",5,5,"4,771.84","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Sithara Pavithra,House for sale,"34,750,299",4,3,"2,457.76","Kottawa, Colombo",Colombo,Kottawa,Colombo,Kottawa,,"Kottawa, Colombo"
Brokered by Dream Homes Real Estate Property,House for sale,"85,311,041",4,5,"3,658.19","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Sooriya Land Sale,House for sale,"89,800,566",5,5,"4,886.03","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by DJ Luxury Realty,House for sale,"147,810,742",6,6,"3,343.12","Colombo 6, Colombo",Colombo,Colombo 6,Colombo,Colombo 6,,"Colombo 6, Colombo"
Brokered by The King of SL Property,House for sale,"78,946,203",3,4,"3,843.97","Kottawa, Colombo",Colombo,Kottawa,Colombo,Kottawa,,"Kottawa, Colombo"
Brokered by ZamZam Properties Pvt Ltd,House for sale,"272,094,554",10,8,"9,019.70","Bambalapitiya , Colombo",Colombo,Bambalapitiya ,Colombo,Bambalapitiya ,,"Bambalapitiya , Colombo"
Brokered by Property Solutions,House for sale,"23,000,000",6,3,"2,500.00","Kynsey Terrace, Colombo 8",Colombo,"Kynsey Terrace, Colombo 8",Colombo,Colombo 8,Kynsey Terrace,"Kynsey Terrace, Colombo 8"
Brokered by ZamZam Properties Pvt Ltd,House for sale,"87,109,646",5,3,"4,826.43","Colombo 6, Colombo",Colombo,Colombo 6,Colombo,Colombo 6,,"Colombo 6, Colombo"
Brokered by S Threads Property,House for sale,"95,906,917",6,4,"4,874.57","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by Sooriya Land Sale,House for sale,"68,712,079",5,3,"2,120.05","Colombo 9, Colombo",Colombo,Colombo 9,Colombo,Colombo 9,,"Colombo 9, Colombo"
Brokered by Platinum Property & Construction,House for sale,"36,736,767",2,2,"1,181.63","Maharagama, Colombo",Colombo,Maharagama,Colombo,Maharagama,,"Maharagama, Colombo"
Brokered by PK Property Solutions,House for sale,"45,330,358",5,3,"2,060.20","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by Neththaru Property,House for sale,"33,665,176",4,2,"1,880.61","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by Sasiri Land sale,House for sale,"76,035,065",6,4,"3,370.72","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
Brokered by Dream Homes Real Estate Property,House for sale,"110,296,542",5,4,"3,773.03","Maharagama, Colombo",Colombo,Maharagama,Colombo,Maharagama,,"Maharagama, Colombo"
Brokered by DJ Luxury Realty,House for sale,"13,336,613",2,2,"1,634.33","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Property Solutions,House for sale,"19,175,744",2,2,"1,142.38","Maththegoda, Colombo",Colombo,Maththegoda,Colombo,Maththegoda,,"Maththegoda, Colombo"
Brokered by Sell Fast | AD Zone,House for sale,"26,437,220",3,3,"1,510.43","Makumbura, Colombo",Colombo,Makumbura,Colombo,Makumbura,,"Makumbura, Colombo"
Brokered by Prime Lands,Villa for sale,"322,768,462",6,5,"9,019.70","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by Infinity Properties,House for sale,"42,641,370",5,3,"3,104.02","Makadana, Colombo",Colombo,Makadana,Colombo,Makadana,,"Makadana, Colombo"
Brokered by ZamZam Properties Pvt Ltd,House for sale,"115,602,114",4,5,"2,845.55","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by Sell Fast | AD Zone,House for sale,"31,558,355",4,5,"3,014.80","Kaduwela, Colombo",Colombo,Kaduwela,Colombo,Kaduwela,,"Kaduwela, Colombo"
Brokered by Platinum Property & Construction,House for sale,"363,464,640",7,5,"8,098.27","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Lakshan Rent House,House for sale,"34,990,810",4,3,"2,947.04","Maharagama, Colombo",Colombo,Maharagama,Colombo,Maharagama,,"Maharagama, Colombo"
Brokered by Citadel Trading ,House for sale,"33,244,873",4,3,"1,874.35","Homagama, Colombo",Colombo,Homagama,Colombo,Homagama,,"Homagama, Colombo"
Brokered by DJ Luxury Realty,Villa for sale,"43,421,083",4,2,"2,716.38","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by Ideal Marketing,House for sale,"31,102,899",4,3,"2,382.66","Homagama, Colombo",Colombo,Homagama,Colombo,Homagama,,"Homagama, Colombo"
Brokered by Priyankara Kavirathna,House for sale,"136,320,569",4,4,"3,255.55","Kohuwala, Colombo",Colombo,Kohuwala,Colombo,Kohuwala,,"Kohuwala, Colombo"
Brokered by Dilruwan Real Estate,Villa for sale,"159,419,521",6,5,"3,863.82","Colombo 6, Colombo",Colombo,Colombo 6,Colombo,Colombo 6,,"Colombo 6, Colombo"
Brokered by Real Mart,House for sale,"31,881,990",5,3,"2,372.42","Malabe, Colombo",Colombo,Malabe,Colombo,Malabe,,"Malabe, Colombo"
Brokered by Emil Realtors Pvt Ltd,House for sale,"42,022,642",3,3,"3,168.19","Kesbewa, Colombo",Colombo,Kesbewa,Colombo,Kesbewa,,"Kesbewa, Colombo"
Brokered by Priyankara Kavirathna,House for sale,"40,170,895",4,3,"2,643.94","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Citadel Trading ,House for sale,"13,350,135",3,3,960.59,"Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by PEO Lands Real Estate,House for sale,"131,307,093",6,5,"2,984.06","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by Property Advertising,House for sale,"170,954,176",6,4,"3,808.99","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Sell Fast | AD Zone,House for sale,"120,801,193",4,4,"4,279.47","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Sooriya Land Sale,House for sale,"31,752,343",2,1,"2,538.98","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by Colombo Property Holdings,House for sale,"58,297,108",4,3,"4,508.22","Morakatiya, Colombo",Colombo,Morakatiya,Colombo,Morakatiya,,"Morakatiya, Colombo"
Brokered by Property Solutions,House for sale,"149,801,187",3,4,"3,337.69","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by Lakshan Rent House,House for sale,"28,776,200",3,4,"2,624.68","Colombo 9, Colombo",Colombo,Colombo 9,Colombo,Colombo 9,,"Colombo 9, Colombo"
Brokered by ZamZam Properties Pvt Ltd,Villa for sale,"114,474,412",4,6,"4,359.07","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by SEV Real Estate,House for sale,"339,688,479",7,5,"7,568.52","Kohuwala, Colombo",Colombo,Kohuwala,Colombo,Kohuwala,,"Kohuwala, Colombo"
Brokered by Real Mart,House for sale,"71,466,697",3,4,"3,510.42","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by PEO Lands Real Estate,House for sale,"35,000,000",4,5,"3,250.00","Pannipitiya, Moraketiya",Colombo,"Pannipitiya, Moraketiya",Colombo,Morakatiya,,"Pannipitiya, Moraketiya"
Brokered by Ideal Marketing,House for sale,"28,490,250",4,3,"1,310.14","Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Lakshan Rent House,House for sale,"26,218,145",3,2,"3,212.88","Padukka, Colombo",Colombo,Padukka,Colombo,Padukka,,"Padukka, Colombo"
No broker,House for sale,"15,743,905",2,2,"1,070.38","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Dream Property,House for sale,"50,139,042",4,4,"4,228.66","Malabe, Colombo",Colombo,Malabe,Colombo,Malabe,,"Malabe, Colombo"
Brokered by Lakshan Rent House,House for sale,"173,878,418",4,4,"3,874.15","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by DJ Luxury Realty,House for sale,"55,828,255",6,5,"3,317.75","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
Brokered by PEO Lands Real Estate,House for sale,"34,500,000",5,3,"4,653.00","Thalduwa, Awissawella",Colombo,"Thalduwa, Awissawella",Colombo,Awissawella,,"Thalduwa, Awissawella"
Brokered by Ideal Marketing,House for sale,"84,691,395",3,4,"3,680.99","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by Sooriya Land Sale,House for sale,"231,752,639",7,6,"5,163.63","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
Brokered by Wasana Homes and Lands,House for sale,"35,811,433",3,3,"1,850.78","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Asantha Real Estate,House for sale,"70,734,430",7,6,"4,959.33","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by AA Real Estate Agents,House for sale,"53,392,936",4,4,"3,174.79","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
Brokered by Dilruwan Real Estate,House for sale,"15,264,672",3,3,896,"Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by S Thedas Property,House for sale,"117,999,426",4,4,"3,973.09","Kohuwala, Colombo",Colombo,Kohuwala,Colombo,Kohuwala,,"Kohuwala, Colombo"
Brokered by Telemarketing Colombo,House for sale,"30,000,000",4,2,"2,700.00","Piliyandala, Colombo",Colombo,Piliyandala,Colombo,Piliyandala,,"Piliyandala, Colombo"
Brokered by Priyankara Kavirathna,House for sale,"8,559,900",3,2,896,"Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by The King of SL Property,House for sale,"47,742,446",2,2,"2,740.19","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Sithara Pavithra,House for sale,"232,402,404",5,5,"5,178.11","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by GoldMark Property Consultancy,House for sale,"187,628,039",5,4,"4,243.64","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by PEO Lands Real Estate,House for sale,"48,700,496",4,4,"3,211.24","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
Brokered by Colombo Property Holdings,House for sale,"116,989,619",4,4,"4,075.17","Maharagama, Colombo",Colombo,Maharagama,Colombo,Maharagama,,"Maharagama, Colombo"
Brokered by Propertydeal.lk,House for sale,"186,974,736",4,4,"4,333.29","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by Infinity Properties,House for sale,"7,777,000",2,1,896,"Pannipitiya, Colombo",Colombo,Pannipitiya,Colombo,Pannipitiya,,"Pannipitiya, Colombo"
Brokered by Dream Homes Real Estate Property,House for sale,"48,706,669",3,2,"3,201.60","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Dream Consultant,House for sale,"61,314,383",2,3,"3,056.75","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by Dream Consultant,House for sale,"68,134,581",4,3,"3,868.44","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Property Solutions,House for sale,"59,794,710",3,3,"2,603.28","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Propertydeal.lk,House for sale,"72,709,836",8,7,"5,166.41","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
Brokered by Dilruwan Real Estate,House for sale,"40,214,044",3,5,896,"Colombo 9, Colombo",Colombo,Colombo 9,Colombo,Colombo 9,,"Colombo 9, Colombo"
Brokered by Daraa Salam Properties,House for sale,"13,828,294",2,2,896,"Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Infinity Properties,House for sale,"56,870,847",4,3,"2,401.54","Kirulapona, Colombo",Colombo,Kirulapona,Colombo,Kirulapona,,"Kirulapona, Colombo"
Brokered by Real Mart,Villa for sale,"215,855,578",5,5,"4,809.43","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Idea Property and Real Estate,House for sale,"187,130,364",3,4,"4,169.41","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Property Solutions,Villa for sale,"158,831,808",7,6,"3,538.90","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by Property Advertising,House for sale,"13,823,441",2,1,"1,081.11","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Neththaru Property,House for sale,"34,045,787",3,3,"2,507.08","Maharagama, Colombo",Colombo,Maharagama,Colombo,Maharagama,,"Maharagama, Colombo"
Brokered by Sasiri Land sale,House for sale,"86,056,942",3,4,"2,860.73","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
Brokered by Wasana Homes and Lands,House for sale,"164,980,728",5,3,"3,675.90","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by Telemarketing Colombo,House for sale,"115,108,395",4,5,"2,564.70","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by PK Property Solutions,House for sale,"71,090,696",8,7,"4,001.35","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by AP Lands And Housing Service,Villa for sale,"252,160,892",5,5,"5,618.34","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by PK Property Solutions,House for sale,"43,265,765",2,2,"3,199.51","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
Brokered by Infinity Properties,House for sale,"16,254,034",2,2,896,"Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Sell Fast | AD Zone,House for sale,"354,131,542",6,5,"7,927.63","Colombo 6, Colombo",Colombo,Colombo 6,Colombo,Colombo 6,,"Colombo 6, Colombo"
No broker,House for sale,"93,969,654",3,4,"3,932.32","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by AA Real Estate Agents,House for sale,"175,657,257",7,4,"3,913.78","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by AA Real Estate Agents,House for sale,"146,504,577",7,6,"3,684.69","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by Mohammed Rizmi,House for sale,"15,854,455",3,2,896,"Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Real Mart,House for sale,"19,294,868",2,3,"1,241.93","Homagama, Colombo",Colombo,Homagama,Colombo,Homagama,,"Homagama, Colombo"
Brokered by Sithara Pavithra,House for sale,"86,411,488",4,4,"2,398.91","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
